air humidity (%);temperature level (F);pH
36,5;47,0;8,2
12,2;48,0;7,1
33,1;46,0;8,9
45,5;73,0;6,6
72,1;73,0;6,6
89,2;79,0;6,3
40,7;34,0;6,1
60,3;72,0;7,8
1,0;55,0;7,3
85,4;58,0;7,5
28,6;36,0;7,8
38,1;72,0;6,2
82,7;66,0;7,8
24,1;39,0;8,0
39,4;78,0;7,7
33,4;75,0;6,6
29,7;48,0;8,3
28,9;59,0;7,6
30,5;70,0;8,3
42,0;36,0;8,1
43,6;41,0;8,2
53,9;51,0;6,4
3,1;33,0;8,1
35,2;41,0;8,4
28,2;52,0;8,9
77,9;66,0;6,1
37,1;73,0;6,2
8,8;34,0;7,3
6,1;69,0;8,8
60,5;77,0;7,8
21,8;56,0;7,7
31,4;49,0;8,4
28,0;40,0;7,9
16,8;53,0;8,7
34,5;72,0;6,9
50,5;70,0;7,4
49,1;69,0;7,5
20,5;55,0;7,6
46,2;66,0;9,0
60,0;63,0;6,8
6,5;40,0;7,1
26,6;35,0;8,7
89,7;69,0;7,6
54,6;76,0;7,6
28,2;33,0;7,6
2,5;72,0;8,3
46,3;65,0;6,9
83,6;84,0;6,8
20,5;32,0;7,9
34,1;71,0;8,7
59,6;80,0;8,8
66,5;71,0;7,8
62,1;79,0;6,2
42,0;43,0;9,0
46,0;68,0;7,6
57,4;79,0;6,1
18,2;35,0;8,1
47,8;40,0;8,7
15,4;42,0;8,7
41,8;60,0;6,4
72,2;78,0;6,4
18,8;43,0;7,2
40,7;82,0;8,0
41,1;62,0;6,7
43,4;45,0;7,1
27,9;59,0;8,5
41,0;56,0;7,0
34,6;77,0;7,4
49,5;79,0;7,9
13,6;36,0;8,3
27,4;56,0;8,7
46,7;71,0;6,6
47,9;78,0;6,6
30,7;53,0;6,7
27,2;40,0;8,3
65,7;45,0;6,9
8,2;35,0;7,5
11,4;44,0;8,7
9,6;37,0;8,8
35,4;77,0;7,5
2,2;41,0;7,1
16,4;47,0;7,6
49,4;65,0;6,0
60,5;56,0;6,9
28,5;54,0;7,7
32,9;71,0;6,6
16,0;52,0;8,4
46,9;78,0;7,9
52,2;61,0;7,1
48,2;36,0;8,7
25,4;39,0;7,1
89,5;59,0;6,7
75,3;77,0;7,3
41,5;45,0;8,1
7,5;71,0;8,0
47,1;82,0;7,9
87,2;82,0;7,0
29,0;45,0;7,5
42,7;44,0;7,2
40,6;52,0;7,9
18,2;39,0;8,7
83,4;52,0;7,8
19,1;40,0;7,5
23,9;43,0;8,5
39,1;58,0;6,7
43,6;50,0;8,1
25,1;54,0;7,9
48,6;78,0;6,1
44,9;54,0;7,7
1,2;55,0;7,9
75,2;55,0;7,5
42,9;53,0;6,9
34,4;71,0;6,4
8,3;55,0;7,6
2,0;44,0;8,5
52,8;52,0;7,4
71,4;74,0;6,7
76,5;66,0;6,6
12,8;49,0;9,0
13,2;50,0;6,0
30,5;58,0;6,8
87,4;67,0;6,7
14,2;36,0;7,9
53,4;84,0;6,2
10,0;53,0;7,0
47,6;65,0;7,0
21,5;38,0;7,1
24,7;36,0;8,7
82,6;52,0;7,5
31,3;56,0;8,2
45,5;53,0;6,5
40,3;55,0;7,4
64,7;71,0;7,4
10,5;33,0;7,2
24,4;44,0;8,7
67,6;69,0;6,7
54,5;69,0;6,6
43,6;42,0;7,4
40,6;52,0;8,0
44,9;51,0;8,1
55,9;60,0;6,5
29,5;55,0;8,0
72,6;83,0;6,8
24,8;48,0;8,1
46,1;54,0;7,3
51,3;39,0;8,5
38,2;62,0;6,3
74,1;62,0;7,2
20,7;48,0;7,5
33,5;65,0;7,7
41,7;69,0;7,1
4,5;34,0;8,3
83,7;35,0;7,3
12,4;33,0;8,5
83,3;59,0;7,1
7,4;55,0;8,5
41,0;49,0;8,1
28,4;48,0;7,2
59,5;74,0;6,5
19,5;55,0;8,4
47,1;55,0;8,2
40,7;76,0;6,7
80,8;73,0;7,8
60,4;64,0;7,2
42,8;80,0;7,3
49,2;57,0;6,0
36,8;81,0;7,7
78,4;51,0;7,6
21,5;45,0;8,0
,9;53,0;7,5
62,8;50,0;6,3
85,2;56,0;8,9
36,0;62,0;7,6
34,0;43,0;7,8
65,8;75,0;6,3
67,5;74,0;6,2
1,7;58,0;8,8
49,1;56,0;6,2
35,1;61,0;8,9
30,6;62,0;7,1
71,7;61,0;7,7
59,1;83,0;7,6
53,0;81,0;6,4
41,9;35,0;7,8
31,9;53,0;6,4
62,8;68,0;7,0
48,2;45,0;9,0
82,4;83,0;8,7
9,1;51,0;7,4
70,2;56,0;6,5
39,0;57,0;7,1
23,3;44,0;8,9
48,2;40,0;9,0
33,7;59,0;7,8
27,5;41,0;8,8
34,7;70,0;7,5
37,4;64,0;7,0
5,7;57,0;8,5
41,4;47,0;7,3
34,9;77,0;7,1
14,2;55,0;7,1
25,8;54,0;6,2
33,6;48,0;7,5
37,4;49,0;8,2
64,1;67,0;8,8
47,6;39,0;8,3
72,6;60,0;7,8
42,4;54,0;7,7
56,3;82,0;6,6
57,9;82,0;7,5
84,7;64,0;7,4
45,4;38,0;6,3
45,6;58,0;8,9
66,1;55,0;7,3
37,2;76,0;7,0
41,9;33,0;8,9
32,7;70,0;7,3
46,4;52,0;7,2
70,8;50,0;6,4
2,1;46,0;8,2
63,3;79,0;7,6
42,4;79,0;7,3
25,3;57,0;9,0
48,4;35,0;7,3
10,1;74,0;8,7
28,6;50,0;7,8
73,6;52,0;7,1
32,8;45,0;7,2
69,2;56,0;7,8
40,5;37,0;8,7
67,5;83,0;7,9
39,5;72,0;6,9
39,7;61,0;7,0
41,5;58,0;7,4
77,9;58,0;6,4
51,9;57,0;7,7
75,6;73,0;7,9
68,2;53,0;7,8
88,4;62,0;6,9
21,0;57,0;7,1
37,0;32,0;8,6
72,0;75,0;6,3
70,5;84,0;7,8
18,4;43,0;7,5
68,5;69,0;7,2
7,4;58,0;8,6
8,7;41,0;8,0
46,2;45,0;8,5
,1;39,0;8,4
80,9;78,0;7,0
48,8;70,0;7,2
43,1;48,0;8,8
47,7;62,0;7,5
44,5;53,0;8,1
6,7;37,0;8,3
77,1;34,0;6,6
4,5;59,0;6,1
71,7;52,0;8,7
77,1;75,0;7,6
49,2;84,0;7,5
20,8;54,0;9,0
63,5;65,0;7,1
74,4;62,0;6,2
75,9;75,0;7,3
33,9;49,0;8,8
49,5;59,0;6,4
41,4;54,0;6,6
43,2;58,0;8,5
79,4;82,0;7,9
83,5;55,0;6,9
54,1;40,0;7,7
82,1;64,0;7,7
20,0;39,0;7,7
52,5;41,0;8,9
34,9;77,0;7,4
84,9;57,0;7,0
43,1;66,0;6,2
73,0;71,0;6,4
43,7;46,0;8,6
76,5;80,0;7,5
29,9;48,0;7,3
29,2;44,0;8,6
23,4;57,0;7,7
75,2;68,0;7,4
40,3;55,0;8,7
89,8;80,0;6,0
19,4;33,0;7,7
28,5;52,0;8,1
30,8;58,0;6,6
50,8;55,0;6,4
51,5;67,0;7,3
30,1;84,0;6,4
43,8;37,0;8,5
41,0;45,0;7,3
32,2;48,0;8,4
29,7;34,0;9,0
10,9;41,0;8,8
68,2;35,0;7,3
66,6;60,0;7,5
89,2;61,0;6,6
23,7;51,0;7,8
42,5;35,0;7,2
35,9;41,0;8,6
65,4;69,0;7,9
82,4;84,0;6,2
27,1;50,0;8,1
38,6;61,0;7,6
86,2;66,0;6,9
26,8;37,0;8,1
34,8;58,0;7,4
39,4;75,0;7,0
35,9;52,0;7,7
47,2;64,0;6,8
2,0;35,0;7,1
67,8;82,0;6,2
81,6;73,0;6,1
8,7;32,0;8,2
31,3;66,0;6,9
42,4;53,0;7,9
48,5;42,0;7,8
22,3;49,0;8,4
13,5;68,0;8,2
72,6;71,0;7,1
33,3;80,0;6,3
83,4;78,0;7,9
32,1;56,0;7,5
48,6;56,0;7,6
43,3;66,0;7,5
49,7;50,0;7,9
33,8;81,0;6,2
22,7;36,0;7,1
75,5;73,0;7,2
,1;53,0;7,7
42,2;54,0;7,6
76,9;78,0;6,5
53,7;35,0;8,0
49,3;50,0;7,7
,7;37,0;8,5
77,7;66,0;6,4
25,5;59,0;7,2
17,2;46,0;8,9
47,9;56,0;7,9
89,2;57,0;7,3
49,7;55,0;6,9
20,1;57,0;7,1
41,4;60,0;7,2
43,1;42,0;8,6
45,0;55,0;7,8
66,9;70,0;7,8
29,3;32,0;9,0
64,1;57,0;6,5
6,6;33,0;7,3
57,9;56,0;7,8
60,6;79,0;8,2
41,5;50,0;8,7
45,5;49,0;8,5
48,1;61,0;6,7
53,5;77,0;7,6
67,6;59,0;7,6
72,7;73,0;7,5
37,3;59,0;8,9
33,9;51,0;7,3
14,2;55,0;8,1
11,4;38,0;8,5
68,4;65,0;7,3
89,2;63,0;6,3
15,7;45,0;7,8
48,8;54,0;7,4
42,0;54,0;6,4
80,9;68,0;6,7
84,1;68,0;6,7
29,3;39,0;6,5
44,3;50,0;7,1
31,0;81,0;7,6
41,4;73,0;7,6
15,4;39,0;7,3
64,4;63,0;7,2
38,0;57,0;8,6
34,2;59,0;7,1
14,8;39,0;8,6
19,8;34,0;8,5
35,2;48,0;7,0
43,0;76,0;7,7
39,1;53,0;6,7
59,8;69,0;6,6
18,1;58,0;7,3
47,0;43,0;7,1
30,7;60,0;8,2
60,9;53,0;6,0
24,4;35,0;7,9
46,5;70,0;7,5
,3;38,0;7,8
71,6;59,0;7,3
43,0;51,0;8,7
21,7;59,0;8,9
72,2;52,0;7,9
89,7;68,0;7,1
41,5;68,0;7,9
19,4;37,0;7,8
58,5;40,0;6,7
42,3;62,0;7,7
44,0;62,0;6,8
53,6;67,0;6,3
10,3;57,0;8,9
14,9;51,0;7,5
23,1;60,0;7,0
17,2;58,0;8,9
75,9;65,0;6,3
41,4;83,0;6,4
85,6;73,0;6,7
48,5;51,0;7,1
67,8;65,0;6,6
24,6;49,0;7,0
17,4;58,0;7,2
77,7;68,0;7,1
4,8;41,0;7,1
63,9;58,0;6,7
38,7;57,0;8,6
3,6;48,0;7,3
2,9;39,0;8,1
36,0;44,0;9,0
16,4;60,0;6,5
62,1;53,0;7,4
39,9;48,0;8,2
47,5;57,0;6,6
23,8;46,0;8,4
55,3;71,0;7,8
62,7;46,0;7,9
64,2;63,0;7,4
59,2;73,0;6,0
74,3;62,0;7,2
32,3;49,0;8,0
5,4;46,0;7,6
33,0;44,0;7,3
70,9;42,0;7,7
49,3;53,0;7,5
7,2;35,0;7,8
37,0;56,0;7,9
12,4;63,0;7,5
34,1;76,0;8,9
47,8;74,0;6,4
21,1;38,0;7,2
54,0;74,0;7,0
31,2;55,0;7,7
9,5;44,0;8,1
47,8;50,0;7,1
86,6;80,0;7,4
11,0;47,0;8,3
8,7;46,0;8,0
89,0;55,0;6,4
30,9;39,0;8,7
41,0;55,0;7,6
23,0;57,0;7,2
34,8;58,0;7,5
45,6;82,0;6,1
7,0;33,0;8,7
76,1;75,0;7,2
84,3;54,0;6,3
75,8;72,0;7,1
7,4;48,0;7,1
31,1;48,0;6,2
73,1;49,0;8,0
34,3;53,0;6,9
12,7;33,0;7,5
